Sample,RMSE,MAE,DELTA1
62381,0.01344304894216092,0.0023085160373290917,0.9999463558197021
55450,0.021435215324297124,0.0052598666290622105,0.9998506307601929
34656,0.04786005102334827,0.01906611842587867,0.9991350173950195
17328,0.08474933762624633,0.041961923421618585,0.9969092011451721
6931,0.13266610671252937,0.07242874583846293,0.9918901920318604
3466,0.169934251388632,0.09543988679740882,0.9865180850028992
693,0.2580261113621836,0.1495878003235957,0.9686889052391052
0,0.6276644468307495,0.4876808524131775,0.7727837562561035
