Sample,RMSE,MAE,DELTA1
62381,0.03042081743478775,0.002600393258035183,0.999617874622345
55450,0.03236548975110054,0.004407702945172787,0.9995911717414856
34656,0.03452076390385628,0.008888334967195988,0.9995426535606384
17328,0.038886357098817825,0.01246466115117073,0.9994631409645081
6931,0.048539161682128906,0.01694336347281933,0.9990882277488708
3466,0.05772324278950691,0.020850393921136856,0.9985517859458923
693,0.09553823620080948,0.03748062625527382,0.9950380921363831
0,0.4175334870815277,0.2990594804286957,0.8876996636390686
