Sample,RMSE,MAE,DELTA1
62381,0.10331822977945217,0.02163724027263497,0.9924429655075073
55450,0.14622361341051746,0.04327635474801782,0.9849035143852234
34656,0.23107300809736178,0.10814712983067876,0.9623336791992188
17328,0.2830768020206761,0.16221235524815616,0.9434785842895508
6931,0.30996724599957737,0.19476465567204695,0.9319038391113281
3466,0.3185546338903785,0.20549520435629684,0.9283114671707153
693,0.32537605617132354,0.2140309498499063,0.9250664710998535
0,0.5918480753898621,0.4665195345878601,0.7708549499511719
