Sample,RMSE,MAE,DELTA1
62381,0.005734495276850913,0.0010056795440351739,0.9999995827674866
55450,0.00982752643829248,0.0024699460737361697,0.9999979734420776
34656,0.026710927749066547,0.01113013919226669,0.9999326467514038
17328,0.0565371503496227,0.029937410008053857,0.9993747472763062
6931,0.10206515132712664,0.06064521444899889,0.9966804385185242
3466,0.1402827962334952,0.08669911509812693,0.9923760294914246
693,0.2340987411128775,0.15258937712673942,0.9727345108985901
0,0.4175334870815277,0.2990594804286957,0.8876996636390686
