Sample,RMSE,MAE,DELTA1
62381,0.1123447647181512,0.024595501007164882,0.9904193878173828
55450,0.15898538938077497,0.04920519345958642,0.9808757901191711
34656,0.25131342359472447,0.12301599663525198,0.9522944092750549
17328,0.3078083398204796,0.18450391224928178,0.9283037185668945
6931,0.3370483915372701,0.22151463825909637,0.9135422110557556
3466,0.3463863274334986,0.23371479783605364,0.9091712236404419
693,0.35388242115553337,0.24324198166971708,0.905545711517334
0,0.5817371606826782,0.4532506763935089,0.7678829431533813
