Sample,RMSE,MAE,DELTA1
62381,0.10091646186711092,0.02043856104623741,0.9927980899810791
55450,0.14281607026579532,0.040883115367999434,0.9855996370315552
34656,0.2256048156436681,0.10215842650833191,0.9640433192253113
17328,0.27633865943526864,0.15326899563429924,0.9459585547447205
6931,0.30261166594436806,0.18403898770867716,0.9350212216377258
3466,0.3110270950267203,0.19404246823414506,0.9318297505378723
693,0.31771615276658033,0.20202288288803222,0.9289507865905762
0,0.6276644468307495,0.4876808524131775,0.7727837562561035
